ProjectName,ProjectDeveloper,ProjectOwner,State,County,Latitude,Longitude,Capacity,CurrentPhase,TimelineDays,OnlyCanceled,ArtificialEnd,OperatingDateFirst,PhaseHistory,,,,,,,,,,,,,,,,,,,,,,,
Highland North Wind,Highland North,Highland North,PA,Cambria,40.3298,-78.6661,75,Operating,1687,No,No,No,Operating:4/6/2012,Testing:3/1/2012,Under Const:3/10/2011,App Pending:2/5/2010,Proposed:8/24/2007,,,,,,,,,,,,,,,,,,,
Highland Park Project,Clear Creek Power,Clear Creek Power,CO,Clear Creek,39.71,-105.67,198,Proposed,1344,No,Yes,No,Proposed:2/26/2015,,,,,,,,,,,,,,,,,,,,,,,
Highland Plantation Wind,Highland Wind,Highland Wind,ME,Somerset,45.0807,-70.0915,78,Canceled,1246,Yes,No,No,Canceled:9/30/2014,Proposed:5/3/2011,App Pending:1/28/2009,,,,,,,,,,,,,,,,,,,,,
Highland Wind Energy,MidAmerican Energy Co,MidAmerican Energy Co,IA,Obrien,43.0042,-95.6068,15.5,Operating,865,No,No,No,Operating:12/4/2015,Operating:12/3/2015,Operating:12/2/2015,Operating:12/1/2015,Testing:8/1/2015,Testing:7/1/2015,Testing:6/1/2015,Proposed:10/12/2014,Proposed:10/11/2014,Under Const:11/30/2013,Permitted:9/11/2013,Proposed:7/19/2013,,,,,,,,,,,,
Highland Wind Farm,Leeward Renewable Energy,Leeward Renewable Energy,WI,Saint Croix,45.152,-92.243,102.5,Permitted,415,Yes,No,No,Permitted:3/22/2016,Postponed:1/22/2014,Permitted:10/25/2013,Proposed:4/6/2013,Canceled:3/1/2013,Proposed:2/25/2013,Canceled:2/14/2013,Proposed:12/27/2011,,,,,,,,,,,,,,,,
Highland Wind Project,Krayn Wind,Krayn Wind,PA,Cambria,40.2972,-78.6983,62.5,Operating,1472,No,No,No,Operating:5/1/2009,Testing:4/15/2009,Under Const:6/2/2008,Site Prep:4/16/2008,Permitted:11/13/2007,Proposed:4/20/2005,,,,,,,,,,,,,,,,,,
Highwater Wind Farm,Highwater Wind,Highwater Wind,MN,Cottonwood,44.056,-95.151,33,Canceled,1049,Yes,No,No,Canceled:12/30/2013,Postponed:4/8/2013,Proposed:2/15/2011,,,,,,,,,,,,,,,,,,,,,
Highwood Generation Station,Southern Montana Electric G&T Coop,Southern Montana Electric G&T Coop,MT,Cascade,47.5056,-111.1346,250,Retired,3007,No,No,No,Retired:9/1/2015,Canceled:4/28/2014,Canceled:6/27/2013,Postponed:12/6/2012,Operating:1/1/2012,Testing:8/20/2011,Under Const:10/15/2010,Permitted:4/12/2010,App Pending:9/1/2009,Proposed:2/2/2009,Site Prep:10/16/2008,Permitted:5/11/2007,App Pending:12/1/2005,Proposed:11/30/2005,Proposed:10/8/2003,,,,,,,,,
Hillcrest Wind Farm,BP Alternative Energy,BP Alternative Energy,IL,Henry,41.4309,-90.0063,100,Canceled,1517,Yes,No,No,Canceled:9/8/2009,Proposed:7/14/2005,,,,,,,,,,,,,,,,,,,,,,
Hilltop Heights Wind Farm,Schneider Power,Schneider Power,MB,,50.5059,-99.8153,120,Canceled,3011,Yes,No,No,Canceled:11/26/2013,Proposed:8/29/2005,,,,,,,,,,,,,,,,,,,,,,
HillTopper Wind Energy Project,Enel Green Power Hilltopper Wind,Enel Green Power Hilltopper Wind,IL,Logan,40.0163,-89.3842,185,Under Const,1455,No,Yes,No,Under Const:4/9/2018,Permitted:8/4/2015,Proposed:11/7/2014,,,,,,,,,,,,,,,,,,,,,
Hog Creek Wind Farm,Hog Creek Wind Farm,Hog Creek Wind Farm,OH,Hardin,40.788,-83.7404,16,Operating,2776,No,No,No,Operating:1/11/2018,Operating:12/22/2017,Testing:11/28/2017,Under Const:1/27/2017,Permitted:12/9/2015,Postponed:9/21/2012,Permitted:9/7/2011,Proposed:5/17/2010,Permitted:3/22/2010,App Pending:6/15/2009,,,,,,,,,,,,,,
Hogback Ridge (Whirlwind 1) Wind Energy Project,Whirlwind,Whirlwind,WY,Carbon,41.6879,-107.295,700,Canceled,2366,Yes,No,No,Canceled:5/26/2017,Postponed:12/19/2016,Proposed:12/3/2010,,,,,,,,,,,,,,,,,,,,,
Holberg Wind,Holberg Wind Energy GP,Holberg Wind Energy GP,BC,,49.1866,-123.8406,58.5,Canceled,664,Yes,No,No,Canceled:7/26/2005,Permitted:11/1/2004,App Pending:7/23/2004,Proposed:10/1/2003,,,,,,,,,,,,,,,,,,,,
Holiday Hill Community Wind,Holiday Hill Community Wind,David Blittersdorf Revocable Trust,MA,Hampden,42.1959,-72.8708,5,Proposed,618,No,Yes,No,Proposed:2/21/2017,,,,,,,,,,,,,,,,,,,,,,,
Holy Name Wind,Holy Name Central Catholic JR/SR High School,Robert J McManus,MA,Worcester,42.2421,-71.784,0.589,Operating,52,No,No,No,Operating:8/15/2008,Proposed:6/24/2008,,,,,,,,,,,,,,,,,,,,,,
Homestead Wind,Apex Clean Energy,Apex Clean Energy,ND,Williams,48.3923,-103.5713,300,Proposed,566,No,Yes,No,Proposed:4/14/2017,,,,,,,,,,,,,,,,,,,,,,,
Homestead Wind I,Springfield Project Development,Springfield Project Development,IL,Cass,39.9054,-89.999,50,Proposed,464,No,Yes,No,Proposed:7/25/2017,,,,,,,,,,,,,,,,,,,,,,,
Honey Creek Wind Project,TradeWind Energy,TradeWind Energy,AR,Benton,36.3728,-94.2093,150,Canceled,2759,Yes,No,No,Canceled:4/4/2016,Postponed:5/29/2012,Proposed:9/14/2008,,,,,,,,,,,,,,,,,,,,,
Hoopeston Wind Project,Hoopeston Wind,Hoopeston Wind,IL,,40.3949,-87.7736,98,Operating,1673,No,No,No,Operating:3/13/2015,Testing:2/28/2015,Under Const:5/12/2014,Permitted:4/20/2012,App Pending:1/19/2012,Postponed:4/12/2011,App Pending:1/28/2011,Proposed:8/13/2010,,,,,,,,,,,,,,,,
Hoosac Wind Project,New England Wind,New England Wind,MA,Berkshire,42.7325,-73.0434,28.5,Operating,3353,No,No,No,Operating:12/4/2012,Under Const:10/17/2012,Site Prep:11/1/2011,Permitted:7/8/2010,App Pending:6/17/2009,Permitted:11/1/2004,App Pending:10/6/2003,Proposed:9/30/2003,,,,,,,,,,,,,,,,
Hoosier Wind Park,Hoosier Wind Project,Hoosier Wind Project,IN,Benton,40.7176,-87.2284,106,Operating,2131,No,No,No,Operating:11/23/2009,Under Const:4/18/2009,Site Prep:3/1/2009,Permitted:10/13/2008,Proposed:1/23/2004,,,,,,,,,,,,,,,,,,,
Hopkins Ridge Wind Project,Puget Sound Energy,Puget Sound Energy,WA,Columbia,46.4343,-117.8352,149.4,Operating,365,No,No,No,Operating:8/8/2008,Under Const:5/7/2008,Operating:12/1/2005,Under Const:3/17/2005,Proposed:12/1/2004,,,,,,,,,,,,,,,,,,,
Horizon Goodhue Wind,EDP Renewables North America,EDP Renewables North America,MN,Goodhue,44.245,-92.8278,235,Canceled,2435,Yes,No,No,Canceled:12/20/2016,Postponed:12/23/2015,Proposed:4/21/2010,,,,,,,,,,,,,,,,,,,,,
Hornell Hartsville Wind Farm,Everpower Wind Holdings,Everpower Wind Holdings,NY,Steuben,42.2843,-77.6922,30,Canceled,1334,Yes,No,No,Canceled:9/10/2018,Postponed:8/14/2017,Proposed:1/15/2015,,,,,,,,,,,,,,,,,,,,,
Horse Butte Wind Farm,Horse Butte Wind I,Horse Butte Wind I,ID,Bonneville,43.4026,-111.7375,57.6,Canceled,687,No,No,No,Canceled:12/27/2013,Postponed:6/6/2013,Operating:9/19/2012,Under Const:11/30/2010,Proposed:11/2/2010,Feasibility:1/1/2003,,,,,,,,,,,,,,,,,,
Horse Creek Wind Farm,PPM Atlantic Renewable,PPM Atlantic Renewable,NY,Jefferson,44.1378,-76.0222,96,Proposed,2717,Yes,No,No,Proposed:1/1/2016,Canceled:5/8/2014,Canceled:4/2/2014,App Pending:10/11/2012,Proposed:5/25/2012,Postponed:9/22/2011,App Pending:1/7/2011,Proposed:6/6/2010,App Pending:1/9/2007,Proposed:10/24/2006,,,,,,,,,,,,,,
Horse Creek Wind of Texas,Horse Creek Wind,Horse Creek Wind,TX,Haskell,33.3435,-99.5893,230,Operating,541,No,No,No,Operating:11/8/2017,Testing:10/18/2017,Operating:1/23/2017,Under Const:12/31/2016,App Pending:12/8/2016,Testing:9/29/2016,Under Const:12/1/2015,App Pending:10/14/2015,Proposed:8/1/2015,,,,,,,,,,,,,,,
Horse Heaven Hills Wind Farm,Washington Winds,Washington Winds,WA,Benton,46.1539,-119.4718,225,Canceled,583,Yes,No,No,Canceled:12/12/2002,Proposed:5/8/2001,,,,,,,,,,,,,,,,,,,,,,
Horse Hollow,Horse Hollow Wind,Horse Hollow Wind,TX,Taylor,32.2444,-100.1192,213,Operating,259,No,No,No,Operating:6/30/2006,Under Const:3/22/2006,Operating:12/20/2005,Proposed:11/18/2005,Under Const:6/1/2005,Proposed:4/5/2005,,,,,,,,,,,,,,,,,,
Horse Thief Wind Project,Horse Thief Wind Project,Horse Thief Wind Project,MT,Carbon,45.223,-108.745,80,App Pending,1213,No,Yes,No,App Pending:8/1/2017,Proposed:7/7/2015,,,,,,,,,,,,,,,,,,,,,,
Horseshoe Bend Wind Park,Cycle Horseshoe Bend Wind,Cycle Horseshoe Bend Wind,MT,Cascade,47.5007,-111.4384,9,Operating,723,No,No,No,Operating:1/24/2006,Under Const:1/3/2005,Proposed:2/1/2004,,,,,,,,,,,,,,,,,,,,,
Hot Springs Windfarm,Hot Springs Windfarm,Hot Springs Windfarm,ID,Elmore,43.0295,-115.4648,19.8,Operating,1313,No,No,No,Operating:8/31/2008,Testing:5/1/2008,Under Const:3/12/2008,Permitted:3/6/2008,App Pending:6/27/2005,Proposed:1/26/2005,,,,,,,,,,,,,,,,,,
Howard County Wind Farm (IA),Navitas Energy,Navitas Energy,IA,Howard,43.3556,-92.3228,75,Canceled,1511,Yes,No,No,Canceled:6/27/2013,Postponed:12/13/2012,Proposed:5/8/2009,,,,,,,,,,,,,,,,,,,,,
Howard County Wind Farm (IN),EDP Renewables North America,EDP Renewables North America,IN,Howard,40.5313,-85.9138,200,Canceled,1253,Yes,No,No,Canceled:9/28/2012,Postponed:3/27/2012,Proposed:4/24/2009,Feasibility:3/19/2008,,,,,,,,,,,,,,,,,,,,
Howard Wind Project,Howard Wind,Howard Wind,NY,Steuben,42.3095,-77.5317,55.35,Operating,2452,No,No,No,Operating:12/31/2011,Testing:9/13/2011,Under Const:7/1/2011,Site Prep:5/1/2011,App Pending:4/20/2011,Proposed:10/27/2010,Postponed:4/23/2010,Proposed:4/14/2005,,,,,,,,,,,,,,,,
Hudson Canyon Wind Farm,Deepwater Wind,Deepwater Wind,NJ,Offshore,40.3467,-73.4164,1000,Canceled,1011,Yes,No,No,Canceled:1/13/2017,Postponed:4/18/2016,Proposed:4/8/2014,,,,,,,,,,,,,,,,,,,,,
Huerfano River Wind Farm,Huerfano River Wind,Huerfano River Wind,CO,Huerfano,37.7709,-104.8281,6,Operating,1369,No,No,No,Operating:5/1/2014,Operating:10/1/2013,Under Const:7/28/2013,App Pending:5/14/2013,Under Const:1/6/2012,Permitted:9/8/2011,Proposed:1/1/2010,,,,,,,,,,,,,,,,,
Huerfano Wind,Huerfano County Renewable Energies,Iberdrola SA,CO,Huerfano,37.654,-104.9264,255,Canceled,1356,Yes,No,No,Canceled:11/2/2011,Postponed:12/21/2009,Proposed:2/15/2008,,,,,,,,,,,,,,,,,,,,,
Hugh R Sharp Campus Wind Project,First State Marine Wind,First State Marine Wind,DE,Sussex,38.7829,-75.1649,2,Operating,319,No,No,No,Operating:6/11/2010,Testing:5/3/2010,Under Const:3/11/2010,Proposed:7/27/2009,,,,,,,,,,,,,,,,,,,,
Hull Wind,Hull MA (Town of),Hull MA (Town of),MA,Plymouth,42.3045,-70.9221,0.66,Operating,559,No,No,No,Operating:12/27/2001,Under Const:11/27/2001,Proposed:6/16/2000,Feasibility:12/31/1998,,,,,,,,,,,,,,,,,,,,
Hull Wind II,Hull MA (Town of),Hull MA (Town of),MA,Plymouth,42.2611,-70.8566,1.8,Operating,1007,No,No,No,Operating:4/19/2006,Under Const:1/14/2006,Permitted:10/1/2004,Proposed:7/17/2003,,,,,,,,,,,,,,,,,,,,
Huron Wind Energy Center,NextEra Energy Resources,NextEra Energy Resources,MI,Huron,43.733,-82.7585,150,Canceled,259,Yes,No,No,Canceled:5/11/2017,Proposed:8/25/2016,,,,,,,,,,,,,,,,,,,,,,
Hurricane Lake Wind Energy,Hurricane Lake Wind Energy I,Hurricane Lake Wind Energy I,SD,Roberts,45.4036,-97.1767,250.5,Canceled,1005,Yes,No,No,Canceled:7/23/2012,Proposed:10/22/2009,,,,,,,,,,,,,,,,,,,,,,
Hurricane Wind Farm,Hurricane Wind,Hurricane Wind,MN,Cottonwood,44.025,-95.17,18,Canceled,1032,Yes,No,No,Canceled:12/13/2013,Proposed:2/15/2011,,,,,,,,,,,,,,,,,,,,,,
Hushamu Wind,Sea Breeze Energy,Sea Breeze Energy,BC,,50.6788,-127.9901,43.2,Canceled,2241,Yes,No,No,Canceled:12/14/2011,Postponed:1/18/2011,Proposed:10/25/2005,,,,,,,,,,,,,,,,,,,,,
Huxley Wind,Availon Wind Services,Building Energy Spa,IA,Story,41.879,-93.629,7.316,Canceled,56,Yes,No,No,Canceled:3/14/2013,Proposed:1/17/2013,,,,,,,,,,,,,,,,,,,,,,
Huxley Wind (Optimum),Availon Wind Services,Michelangelo Wind 1,IA,Story,41,-93,3,Canceled,1222,No,No,No,Canceled:4/24/2018,Operating:3/31/2017,Operating:2/28/2017,Operating:12/31/2016,Under Const:6/24/2016,Permitted:11/8/2013,Proposed:8/27/2013,,,,,,,,,,,,,,,,,
Huxley Wind II,Availon Wind Services,Building Energy Spa,IA,Story,41.914,-93.629,7.316,Canceled,56,Yes,No,No,Canceled:3/14/2013,Proposed:1/17/2013,,,,,,,,,,,,,,,,,,,,,,
Hwy 785 Wind Farm (Ab),Enel Alberta Wind,Enel Alberta Wind,AB,,49.5336,-113.8988,235,Canceled,388,Yes,No,No,Canceled:11/23/2012,Postponed:11/1/2012,Proposed:11/1/2011,,,,,,,,,,,,,,,,,,,,,
Hyde County Wind Energy Center,NextEra Energy Resources,NextEra Energy Resources,SD,Hyde,44.4487,-99.462,150,Canceled,323,Yes,No,No,Canceled:10/19/2011,Proposed:11/30/2010,,,,,,,,,,,,,,,,,,,,,,
Icebreaker Offshore Wind Farm,General Electric Co,Lake Erie Energy Development,OH,Offshore,41.5341,-81.751,20.7,Canceled,2149,Yes,No,No,Canceled:11/30/2015,App Pending:10/24/2014,Proposed:6/1/2010,Proposed:1/11/2010,Feasibility:8/1/2005,,,,,,,,,,,,,,,,,,,
Ida Grove Wind Project,Ida Grove Wind Energy,Ida Grove Wind Energy,IA,Ida,42.3541,-95.4708,301,Operating,475,No,No,No,Operating:12/15/2016,Testing:9/1/2016,Under Const:4/14/2016,Proposed:8/28/2015,,,,,,,,,,,,,,,,,,,,
Illinois State University Wind,Illinois State University,Illinois State University,IL,Mclean,40.5011,-88.9048,1.5,Canceled,1290,Yes,No,No,Canceled:1/4/2008,Postponed:2/20/2006,Proposed:6/23/2004,Feasibility:12/4/2003,,,,,,,,,,,,,,,,,,,,
Indian Mesa Wind Farm,Indian Mesa Wind Farm,NextEra Energy Resources,TX,Pecos,30.9333,-102.1822,82.5,Permitted,355,No,No,No,Permitted:4/25/2018,Operating:9/1/2001,Under Const:10/1/2000,Proposed:9/11/2000,,,,,,,,,,,,,,,,,,,,
Indian River Wind Farm,Deepwater Wind,Deepwater Wind,DE,Offshore,38.649,-74.827,90,Canceled,2253,Yes,No,No,Canceled:2/1/2016,Postponed:2/9/2015,Proposed:12/1/2009,Postponed:12/25/2005,Feasibility:1/22/2003,,,,,,,,,,,,,,,,,,,
Innergex Gaspe Wind,Innergex Renewable Energy,Innergex Renewable Energy,QC,,48.7781,-65.6425,150,Operating,1302,No,No,No,Operating:12/2/2016,Under Const:5/31/2015,Proposed:5/10/2013,,,,,,,,,,,,,,,,,,,,,
Innisfil Wind Farm,Efi Energy Farming Intl Ag,Schneider Power,ON,,44.259,-79.6585,10,Canceled,2167,Yes,No,No,Canceled:1/31/2013,Postponed:1/30/2012,App Pending:2/27/2007,Proposed:2/25/2007,,,,,,,,,,,,,,,,,,,,
Intrepid Wind Project,EDF Renewable Energy,MidAmerican Energy Co,IA,Buena Vista,42.55,-95.3106,175.5,Operating,647,No,No,No,Operating:12/13/2005,Under Const:4/1/2005,Proposed:1/25/2005,Operating:12/31/2004,Under Const:10/22/2004,Proposed:3/25/2003,,,,,,,,,,,,,,,,,,
Iowa Stored Energy Park,Iowa Stored Energy Park,Iowa Association of Municipal Utilities,IA,Webster,42.4975,-94.1678,418,Canceled,1392,Yes,No,No,Canceled:7/28/2011,Proposed:10/5/2007,Feasibility:1/31/2003,,,,,,,,,,,,,,,,,,,,,
Ironwood Wind Farm,Ironwood Windpower,Ironwood Windpower,KS,Ford,37.8462,-99.7375,167.9,Canceled,955,No,No,No,Canceled:12/29/2015,Postponed:8/22/2013,Operating:8/31/2012,Under Const:2/27/2012,Permitted:8/13/2010,Proposed:1/19/2010,,,,,,,,,,,,,,,,,,
Irving Wind Project,JD Irving Limited,JD Irving Limited,PE,,46.547,-63.6958,60,Canceled,1081,Yes,No,No,Canceled:11/10/2005,Postponed:3/4/2005,Permitted:8/27/2004,App Pending:4/11/2003,Proposed:11/25/2002,,,,,,,,,,,,,,,,,,,
Isabella Wind,Apex Clean Energy,Apex Clean Energy,MI,Isabella,43.7595,-84.9999,400,Proposed,563,No,Yes,No,Proposed:4/17/2017,,,,,,,,,,,,,,,,,,,,,,,
Isle of Wight (MD),Deepwater Wind,Deepwater Wind,MD,Offshore,38.435,-74.8533,1232,Canceled,3030,Yes,No,No,Canceled:7/6/2011,Postponed:1/11/2005,Proposed:3/20/2003,,,,,,,,,,,,,,,,,,,,,
Isle Pierre Wind,Kruger Energy Isle Pierre,Kruger Energy Isle Pierre,BC,,53.9381,-123.3331,100,Proposed,1331,No,Yes,No,Proposed:3/11/2015,,,,,,,,,,,,,,,,,,,,,,,
Ivanhoe Wind,Apex Clean Energy,Apex Clean Energy,OK,Beaver,36.7463,-100.5241,300,Proposed,677,No,Yes,No,Proposed:12/24/2016,,,,,,,,,,,,,,,,,,,,,,,
Ivester Wind Energy,Ownenergy,Ownenergy,IA,Grundy,42.3418,-92.9428,90,Permitted,1928,No,Yes,No,Permitted:7/1/2018,Proposed:7/22/2013,,,,,,,,,,,,,,,,,,,,,,
Jackson Mountain Wind,Jackson Mountain Wind,Jackson Mountain Wind,TX,Nolan,32.0901,-100.235,90,Canceled,396,Yes,No,No,Canceled:6/5/2009,Proposed:5/5/2008,,,,,,,,,,,,,,,,,,,,,,
Jardin D Eole,Northland Power,Northland Power,QC,,48.7597,-67.6986,127.5,Canceled,2384,No,No,No,Canceled:10/29/2012,Postponed:10/10/2011,Proposed:12/15/2010,Operating:11/20/2009,Under Const:7/21/2008,Permitted:5/16/2008,Feasibility:5/14/2008,App Pending:8/30/2007,Proposed:5/12/2003,,,,,,,,,,,,,,,
Jasper County Wind,Avangrid Renewables,Avangrid Renewables,MO,Jasper,37.3345,-94.256,150,Canceled,1431,Yes,No,No,Canceled:12/15/2014,Proposed:1/14/2011,,,,,,,,,,,,,,,,,,,,,,
Java Wind,Superior Renewable Energy,Babcock & Brown,SD,Walworth,45.5034,-99.8915,25.5,Canceled,2426,Yes,No,No,Canceled:12/29/2009,Postponed:3/3/2008,Proposed:5/9/2003,,,,,,,,,,,,,,,,,,,,,
Javelina Wind Farm,Javelina Wind Energy,Javelina Wind Energy,TX,Webb,27.3581,-98.9318,250,Operating,1267,No,No,No,Operating:2/3/2017,Testing:11/11/2016,Under Const:2/28/2016,Operating:12/22/2015,Testing:11/2/2015,App Pending:2/24/2015,Under Const:9/1/2013,Proposed:7/3/2012,,,,,,,,,,,,,,,,
Jawbone Wind Energy Project,Alterra Power,Alterra Power,CA,Kern,35.3115,-118.2073,273,Canceled,621,Yes,No,No,Canceled:6/27/2018,Proposed:9/20/2017,Postponed:6/8/2017,Site Prep:8/3/2012,Proposed:5/3/2011,Canceled:7/15/2002,Proposed:11/1/2000,,,,,,,,,,,,,,,,,
Jawbone Wind Project,Oak Creek Energy System II,Oak Creek Energy System II,CA,Kern,35.3457,-118.782,52.5,Canceled,1454,Yes,No,No,Canceled:10/25/2005,Proposed:11/1/2001,,,,,,,,,,,,,,,,,,,,,,
Jayhawk Wind,Apex Clean Energy,Apex Clean Energy,KS,Crawford,37.4489,-94.7958,300,Proposed,566,No,Yes,No,Proposed:4/14/2017,,,,,,,,,,,,,,,,,,,,,,,
Jericho Mountain,Jericho Mountain Wind Co,Jericho Mountain Wind Co,NH,Coos,44.4678,-71.2236,12.05,Operating,3914,No,No,No,Operating:3/28/2016,Testing:1/1/2016,Under Const:9/24/2015,Permitted:11/1/2012,Postponed:3/15/2007,Testing:4/6/2006,Under Const:11/29/2005,Proposed:7/10/2005,,,,,,,,,,,,,,,,
Jericho W1,Fresh Air Energy II,Fresh Air Energy II,WA,Grant,46.812,-119.809,80,Proposed,323,No,Yes,No,Proposed:12/13/2017,,,,,,,,,,,,,,,,,,,,,,,
Jericho Wind Energy Centre,NextEra Energy Canada,NextEra Energy Canada,ON,,43.0842,-81.8947,149.04,Operating,1610,No,No,No,Operating:11/24/2014,Under Const:7/28/2014,Permitted:5/7/2014,App Pending:3/3/2014,Proposed:6/28/2010,,,,,,,,,,,,,,,,,,,
Jerome County Wind Project,Gridflex Energy,Gridflex Energy,ID,Jerome,42.42,-114.2,500,Proposed,127,No,Yes,No,Proposed:6/27/2018,,,,,,,,,,,,,,,,,,,,,,,
Jersey Atlantic Wind Farm,Jersey Atlantic Wind,Viridity Energy,NJ,Atlantic,39.3822,-74.4504,0.277,Operating,971,No,No,No,Operating:2/28/2018,Operating:7/1/2006,Operating:1/8/2006,Under Const:12/19/2005,Proposed:9/12/2005,Under Const:8/15/2005,Proposed:5/13/2003,,,,,,,,,,,,,,,,,
Jett Creek Windfarm,Jett Creek Windfarm,Jett Creek Windfarm,OR,Baker,44.425,-117.274,10,Operating,1892,No,No,No,Operating:3/31/2017,Under Const:7/26/2016,Proposed:1/25/2012,,,,,,,,,,,,,,,,,,,,,
Jiminy Peak Wind,Jiminy Peak,Jiminy Peak,MA,Berkshire,42.5437,-73.2926,1.5,Operating,1078,No,No,No,Operating:8/15/2007,Under Const:9/1/2006,Site Prep:3/1/2005,Proposed:9/1/2004,,,,,,,,,,,,,,,,,,,,
Jones Beach,Deepwater Wind,Deepwater Wind,NY,Offshore,40.6078,-73.3361,300,Canceled,1317,Yes,No,No,Canceled:3/4/2012,Proposed:4/17/2008,Canceled:10/27/2006,Postponed:10/28/2004,Proposed:3/20/2003,,,,,,,,,,,,,,,,,,,
Jordan Creek Wind Farm,Jordan Creek Wind Farm,Jordan Creek Wind Farm,IN,Warren,40.4146,-87.4328,300,Permitted,742,No,Yes,No,Permitted:12/13/2016,Proposed:10/20/2016,Feasibility:8/2/2016,,,,,,,,,,,,,,,,,,,,,
Jordanville Wind Farm,Jordanville Wind,Jordanville Wind,NY,Herkimer,42.9418,-74.8728,80,Canceled,2923,Yes,No,No,Canceled:1/1/2012,Postponed:9/15/2010,Permitted:6/23/2007,App Pending:5/19/2006,Proposed:12/31/2003,,,,,,,,,,,,,,,,,,,
Jubilee Project,NextEra Energy Resources,NextEra Energy Resources,NE,Butler,41.1869,-96.9206,200,Proposed,1337,No,Yes,No,Proposed:3/5/2015,,,,,,,,,,,,,,,,,,,,,,,
Judith Gap Wind Energy II,Judith Gap Wind Energy II,Judith Gap Wind Energy II,MT,Wheatland,46.6,-109.84,10,Canceled,3934,Yes,No,No,Canceled:2/27/2013,Postponed:2/21/2013,Proposed:5/22/2002,,,,,,,,,,,,,,,,,,,,,
Judith Gap Wind Energy III,Judith Gap Wind Energy III,Judith Gap Wind Energy III,MT,Wheatland,46.567,-109.817,10,Canceled,3934,Yes,No,No,Canceled:2/27/2013,Postponed:2/21/2013,Proposed:5/22/2002,,,,,,,,,,,,,,,,,,,,,
Judith Gap Wind Farm,Judith Gap Energy,Judith Gap Energy,MT,Wheatland,46.6007,-109.7503,135,Canceled,1342,No,No,No,Canceled:2/16/2012,Postponed:12/27/2011,Operating:1/23/2006,Under Const:5/29/2005,Proposed:5/22/2002,,,,,,,,,,,,,,,,,,,
Judith Highlands Energy,Judith Highlands Energy,Judith Highlands Energy,MT,Judith Basin,46.8266,-109.9658,100,Postponed,3258,No,Yes,No,Postponed:8/22/2016,Postponed:2/23/2016,Proposed:11/30/2009,,,,,,,,,,,,,,,,,,,,,
Junction Hilltop Wind,Junction Hilltop Wind,Junction Hilltop Wind 1,IA,Greene,42.096,-94.2751,8,Operating,313,No,No,No,Operating:3/17/2012,Under Const:12/16/2011,Proposed:5/9/2011,,,,,,,,,,,,,,,,,,,,,
Juniper Flats Wind Project,Del sur Wind Energy,Wind Energy,CA,San Bernardino,34.3948,-117.1632,50,Canceled,1373,Yes,No,No,Canceled:3/25/2014,Proposed:6/21/2010,,,,,,,,,,,,,,,,,,,,,,
JustWIND Emmons Project,Emmons County Wind Farm,Emmons County Wind Farm,ND,Emmons,46.1315,-100.1639,799.2,Canceled,1351,Yes,No,No,Canceled:6/30/2014,Postponed:6/26/2013,Proposed:2/2/2012,Proposed:10/18/2010,Permitted:1/16/2009,,,,,,,,,,,,,,,,,,,
Juwi Lenawee County Wind,Juwi Wind,Juwi Wind,MI,Lenawee,41.7739,-83.8261,99,Canceled,428,Yes,No,No,Canceled:2/8/2012,Proposed:12/7/2010,,,,,,,,,,,,,,,,,,,,,,
K&K Wind Enterprises,K & K Wind Enterprises,K & K Wind Enterprises,MN,Mower,43.331,-92.433,1.464,Canceled,624,Yes,No,No,Canceled:8/30/2017,Postponed:1/30/2017,Proposed:12/15/2015,,,,,,,,,,,,,,,,,,,,,
K2 Wind,Capital Power,Capital Power,ON,,43.7857,-81.6606,39.6,Operating,1149,No,No,No,Operating:5/29/2015,Testing:3/25/2015,Under Const:3/25/2014,Site Prep:3/24/2014,Permitted:7/23/2013,Proposed:8/3/2011,Canceled:10/22/2008,Postponed:1/25/2007,Operating:2/1/2006,Under Const:4/21/2005,Proposed:4/7/2004,Proposed:12/10/2002,,,,,,,,,,,,
K4 Livingston County Wind Farm,Vision Energy,Vision Energy,IL,Livingston,41.0307,-88.2773,114,Canceled,1673,Yes,No,No,Canceled:3/13/2013,Permitted:7/1/2011,Proposed:1/5/2010,App Pending:2/18/2009,Proposed:8/13/2008,,,,,,,,,,,,,,,,,,,
Kaheawa Pastures Wind Farm,First Wind O & M,Kaheawa Wind Power,HI,Maui,20.8149,-156.5511,30,Operating,645,No,No,No,Operating:5/24/2012,Under Const:6/22/2011,App Pending:8/4/2009,Proposed:9/20/2006,Operating:6/8/2006,Under Const:10/14/2005,Proposed:9/1/2004,,,,,,,,,,,,,,,,,
Kahuku Wind Farm,First Wind O & M,Kahuku Wind Power,HI,Honolulu,21.6844,-157.9721,30,Operating,2117,No,No,No,Operating:8/31/2013,Proposed:8/1/2012,Operating:3/24/2011,Testing:10/1/2010,Under Const:7/13/2010,App Pending:3/5/2010,Proposed:6/6/2005,Feasibility:8/17/2004,,,,,,,,,,,,,,,,
Kamaoa Wind Farm,Apollo Energy,Apollo Energy,HI,Hawaii,18.9931,-155.6657,-9.2,Operating,901,No,No,No,Operating:4/2/2007,Under Const:9/25/2006,Proposed:10/13/2004,,,,,,,,,,,,,,,,,,,,,
